LEA Code,District Name,School Code,School Name,Organization Type,School Type,Low Grade,High Grade,Address,City,State,Zip,County,Current Status,Categories And Programs,Virtual School,IB Program,Phone Number,Fax Number,Website Url,Email
0413,Beloit,1672,Richardson School,Private School,Combined Elementary/Secondary School,KG,12,321 Olympian Blvd,Beloit,WI,53511,Rock,OPEN,,,,608-473-3244,608-473-3245,www.richardsonschool.com,Marissa.bekken@richardsonschool.com
0413,Beloit,2031,Rising Phoenix Academy,Private School,Middle School,06,08,1633 Keeler Ave,Beloit,WI,53511,Rock,OPEN,,,,608-713-1913,,https://www.rpabeloit.com,info@rpabeloit.com
0413,Beloit,2457,Rock County Christian School,Private School,Combined Elementary/Secondary School,06,12,916 Bushnell St,Beloit,WI,53511,Rock,OPEN,Choice,,,608-757-1000,608-365-7382,www.rccs.us,office@rccs.us
0434,Berlin Area,0133,All Saints Regional Catholic School,Private School,Elementary School,K4,08,N8566 State Rd 49,Berlin,WI,54923,Green Lake,OPEN,,,,920-361-1781,920-361-7379,www.allsaintsberlin.org,jdahms@allsaintsberlin.org
0434,Berlin Area,4440,Saint John Lutheran School,Private School,Elementary School,K4,08,146 Mound St,Berlin,WI,54923,Green Lake,OPEN,Choice,,,920-361-0555,920-361-0575,www.stjohnberlin.org,school@stjohnberlin.org
0497,Bloomer,7037,Saint Paul Grade School,Private School,Elementary School,K4,08,1210 Main St,Bloomer,WI,54724,Chippewa,OPEN,Choice,,,715-568-3233,715-568-3244,stpauls.bloomertel.net,stpaulpr@bloomer.net
0497,Bloomer,1110,Saint Paul Lutheran School,Private School,Elementary School,KG,08,1319 Larson St,Bloomer,WI,54724,Chippewa,OPEN,,,,715-568-4322,715-568-4322,www.stplspartans.net,principal@stplspartans.net
0497,Bloomer,1339,Sunny Meadow Amish,Private School,Elementary School,01,08,8300 County Road AA,New Auburn,WI,54757,Chippewa,OPEN,,,,715-237-3310,,,
0602,Bonduel,0480,Deer View Amish School,Private School,Elementary School,01,08,W4285 Porter Rd,Bonduel,WI,54107,Shawano,OPEN,,,,,,,
0602,Bonduel,1545,Oakview Amish School,Private School,Elementary School,01,08,N5385 Hwy 117,Cecil,WI,54111,Shawano,OPEN,,,,715-758-6111,,,
0602,Bonduel,7050,Saint Paul Lutheran School,Private School,Elementary School,K4,08,240 E Green Bay St,Bonduel,WI,54107,Shawano,OPEN,Choice,,,715-758-8532,715-758-6352,www.stpaulbonduel.com,c.reisler@stpaulbonduel.com
0602,Bonduel,1875,Tracy Corners Parochial School,Private School,Elementary School,01,08,W4274 Cty Rd E,Bonduel,WI,54107,Shawano,OPEN,,,,715-745-2916,,,boettax@tds.net
0658,Brillion,6280,Holy Family School,Private School,Elementary School,K4,08,1100 W Ryan St,Brillion,WI,54110,Calumet,OPEN,Choice,,,920-756-2502,,www.hfcsbrillion.com,hfcs@holyfamily-parish.org
0658,Brillion,8378,Trinity Evangelical Lutheran School,Private School,Elementary School,K4,08,601 E National Ave,Brillion,WI,54110,Calumet,OPEN,Choice,,,920-756-3738,920-756-9189,www.trinitybrillion.org,tls@trinitybrillion.org
0665,Bristol #1,1675,Open Wings Learning Community,Private School,Combined Elementary/Secondary School,KG,12,13022 Wilmot Rd,Kenosha,WI,53142,Kenosha,OPEN,,,,262-697-7744,,www.openwingslearning.org,openwingsoffice@openwingslearning.org
0700,Brodhead,1588,Pleasant View Mennonite School,Private School,Elementary School,01,08,93881 County Road E,Brodhead,WI,53520,Green,OPEN,,,,608-921-4010,,,
0714,Elmbrook,0256,Brookfield Academy,Private School,Combined Elementary/Secondary School,K4,12,3462 N Brookfield Rd,Brookfield,WI,53045,Waukesha,OPEN,,,,262-783-3200,262-783-3209,www.brookfieldacademy.org,briana.spaeth@brookfieldacademy.org
0714,Elmbrook,1845,Brookfield Christian School,Private School,Combined Elementary/Secondary School,K4,08,14155 W Burleigh Rd,Brookfield,WI,53005,Waukesha,OPEN,,,,262-782-4722,262-782-0551,www.brookfieldchristian.org,office@brookfieldchristian.org
0714,Elmbrook,0393,Christ the Lord Evangelical Lutheran,Private School,Elementary School,K4,08,1650 N Brookfield Rd,Brookfield,WI,53045,Waukesha,OPEN,Choice,,,262-782-3040,262-782-3504,christthelordbrookfield.org,schooloffice@christthelordbrookfield.org
0714,Elmbrook,1568,Immanuel Lutheran School,Private School,Elementary School,K4,08,13445 W Hampton Rd,Brookfield,WI,53005,Waukesha,OPEN,Choice,,,262-781-7140,,www.immanuelbrookfield.org,jcomfort@immanuelbrookfield.org
0714,Elmbrook,3610,Saint Dominic Catholic Grade School,Private School,Elementary School,K4,08,18105 W Capitol Dr,Brookfield,WI,53045,Waukesha,OPEN,,,,262-783-7565,262-783-5947,www.stdominic.net/school,school@stdominic.net
0714,Elmbrook,4620,Saint John Vianney Grade School,Private School,Elementary School,K4,08,17500 Gebhardt Rd,Brookfield,WI,53045,Waukesha,OPEN,,,,262-796-3942,262-796-3953,stjohnv.org,kathyd@stjohnv.org
0714,Elmbrook,5920,Saint Mary Visitation Grade School,Private School,Elementary School,K4,08,13000 Juneau Blvd,Elm Grove,WI,53122,Waukesha,OPEN,,,,262-782-7057,262-782-3035,www.stmaryeg.org,mtretow@stmaryeg.org
0714,Elmbrook,1908,Trinity Lutheran Classical High School,Private School,High School,09,11,945 Terrace Drive,Elm Grove,WI,53219,Waukesha,OPEN,Choice,,,262-289-8267,,https://www.trinitylutheranclassical.org,jeggold@trinitylutheranclassical.org
0721,Brown Deer,1843,Institute of Technology and Academics,Private School,Elementary School,K4,02,5051 W Bradley Rd,Milwaukee,WI,53223,Milwaukee,OPEN,Choice,,,414-365-9375,414-365-9376,www.instituteoftech.org,ksingh@instituteoftech.org
0721,Brown Deer,1957,Risen Savior Lutheran School,Private School,Elementary School,K4,K4,8635 N 60th St,Brown Deer,WI,53223,Milwaukee,OPEN,Choice,,,414-354-7980,,https://www.rslsmke.org,ecc@rslsmke.org
0777,Burlington Area,5890,Burlington Catholic School,Private School,Elementary School,K4,08,225 W State St,Burlington,WI,53105,Racine,OPEN,Choice,,,262-763-1515,,https://ourbcs.org,eberg@ourbcs.org
0777,Burlington Area,0307,Catholic Central High School,Private School,High School,09,12,148 McHenry St,Burlington,WI,53105,Racine,OPEN,Choice,,,262-763-1510,,www.catholiccentralhs.org,deannakoch@cchsnet.org
0777,Burlington Area,4840,Saint John's Lutheran School,Private School,Elementary School,K4,08,198 Westridge Ave,Burlington,WI,53105,Racine,OPEN,Choice,,,262-763-2377,877-288-2089,www.stjohnsburlington.org,school@stjohnsburlington.org
0882,Cambria-Friesland,1579,Hillside Amish School,Private School,Elementary School,01,08,N7653 Sommers Rd,Cambria,WI,53923,Columbia,OPEN,,,,,,,
0882,Cambria-Friesland,1707,Pleasant Ridge Amish School,Private School,Elementary School,01,08,W2399 County Road E,Cambria,WI,53923,Columbia,OPEN,,,,,,,
0896,Cambridge,8606,Utica Christian School,Private School,Combined Elementary/Secondary School,K4,12,2095 County Road W,Stoughton,WI,53589,Dane,OPEN,,,,608-873-7077,,ucswi.org,office@ucswi.org
0903,Cameron,2094,Ascension Academy,Private School,Elementary School,K4,06,600 Wisconsin Ave,Cameron,WI,54822,Barron,OPEN,Choice,,,715-671-0022,,https://ascensionarrows.org/,christysainburg@ascensionarrows.org
0910,Campbellsport,6580,Saint Matthew Grade School,Private School,Elementary School,K4,08,423 Mill St,Campbellsport,WI,53010,Fond du Lac,OPEN,Choice,,,920-533-4103,920-533-8078,stmattsschoolcampbellsport.com,office@stmattsschoolcampbellsport.com
0910,Campbellsport,7170,Saint Pauls Lutheran School,Private School,Elementary School,K4,08,N6693 County Road W,Mount Calvary,WI,53097,Fond du Lac,OPEN,Choice,,,920-922-9056,,www.stpaulstof.com,jkrause@stpaulstof.com
0910,Campbellsport,2110,Shepherd of the Hills Catholic School,Private School,Elementary School,K4,08,W1562 County Road B,Eden,WI,53019,Fond du Lac,OPEN,,,,920-477-3551,,soth-school.org,apetersen@soth-school.org
0910,Campbellsport,8635,Trinity Lutheran Church and School,Private School,Elementary School,K4,08,W2011 County Road F,Campbellsport,WI,53010,Fond du Lac,OPEN,Choice,,,920-533-4792,920-533-4792,www.TrinityWaucousta.com,school@tlcswaucousta.com
0980,Cashton,0420,Clinton Amish Schools,Private School,Elementary School,UE,UE,S611 County Road D,Cashton,WI,54619,Vernon,OPEN,,,,,,,
0980,Cashton,2485,Sacred Heart School,Private School,Elementary School,K4,08,710 Kenyon St,Cashton,WI,54619,Monroe,OPEN,Choice,,,608-654-7733,,smash3p.org,school@smash3p.org
0994,Cassville,3500,Saint Charles Grade School,Private School,Elementary School,KG,08,521 E Dewey St,Cassville,WI,53806,Grant,CLOSED,,,,608-725-5173,608-725-5179,stcharlesschoolcassville.org,cassie.okey@stcharlescassville.org
1015,Cedarburg,0690,First Immanuel Lutheran School,Private School,Elementary School,K4,08,W67N622 Evergreen Blvd,Cedarburg,WI,53012,Ozaukee,OPEN,Choice,,,262-377-6610,262-377-9606,filschool.org,eeverts@fils.org
1015,Cedarburg,1577,MorningStar Montessori Inc,Private School,Elementary School,K4,KG,W63N131 Washington Ave,Cedarburg,WI,53012,Ozaukee,OPEN,,,,262-573-3200,,morningstarmontessori.org,vera@morningstarmontessori.org
1015,Cedarburg,3730,Saint Francis Borgia Grade School,Private School,Elementary School,K4,08,1425 Covered Bridge Rd,Cedarburg,WI,53012,Ozaukee,OPEN,,,,262-377-2050,262-377-4099,www.sfbschool.org,office@sfbschool.org
1080,Chetek-Weyerhaeuser Area,1517,Pleasant View Amish Sch,Private School,Elementary School,01,08,2182B 8th Ave,Chetek,WI,54728,Barron,OPEN,,,,,,,
1085,Chilton,0330,Chilton Area Catholic School,Private School,Elementary School,K4,08,60 E Washington St,Chilton,WI,53014,Calumet,OPEN,Choice,,,920-849-4141,--,www.chiltonareacatholic.org,smeyers@chiltonareacatholic.org
1092,Eau Claire Area,1936,Cornerstone Lutheran High School,Private School,High School,09,12,1825 N Clairemont Ave,Eau Claire,WI,54703,Eau Claire,OPEN,Choice,,,715-770-9102,,https://www.cornerstonelhs.org/,marohnc@cornerstonelhs.org
1092,Chippewa Falls Area Unified,1060,Holy Ghost Elementary School,Private School,Elementary School,03,06,436 S Main St,Chippewa Falls,WI,54729,Chippewa,OPEN,Choice,,,715-723-6478,715-723-8990,www.macs.k12.wi.us,k.adams@macs.k12.wi.us
1092,Chippewa Falls Area Unified,1654,Liberty Christian School,Private School,Combined Elementary/Secondary School,KG,12,17250 County Hwy J,Chippewa Falls,WI,54729,Chippewa,OPEN,Choice,,,715-723-0336,,www.libertychristianschoolwi.org,libertychristianwi@gmail.com
1092,Chippewa Falls Area Unified,1800,McDonell Central Catholic High School,Private School,High School,09,12,1316 Bel Air Blvd,Chippewa Falls,WI,54729,Chippewa,OPEN,Choice,,,715-723-0538,715-723-1501,www.macs.k12.wi.us,k.adams@macs.k12.wi.us
1092,Chippewa Falls Area Unified,2055,Notre Dame Middle School,Private School,Middle School,07,08,1316 Bel Air Blvd,Chippewa Falls,WI,54729,Chippewa,OPEN,Choice,,,715-723-4777,715-723-3024,www.macs.k12.wi.us,k.adams@macs.k12.wi.us
1092,Chippewa Falls Area Unified,3450,Saint Charles Borromeo Primary School,Private School,Elementary School,K4,02,429 W Spruce St,Chippewa Falls,WI,54729,Chippewa,OPEN,Choice,,,715-723-5827,715-723-2109,www.macs.k12.wi.us,k.adams@macs.k12.wi.us
1092,Chippewa Falls Area Unified,7320,Saint Peter Grade School,Private School,Elementary School,01,08,11370 County Highway Q,Chippewa Falls,WI,54729,Chippewa,OPEN,Choice,,,715-288-6250,715-288-6250,https://www.stpeterschooltilden.com/,principal@stpetersschooltilden.com
1092,Chippewa Falls Area Unified,1914,Venture Academy,Private School,Combined Elementary/Secondary School,KG,08,989 122nd St,Chippewa Falls,WI,54729,Eau Claire,OPEN,Choice,,,715-972-0003,,https://www.ventureacademy.org,joelle.sedivy@ventureacademy.org
1141,Clintonville,5820,Saint Martin Lutheran School,Private School,Elementary School,KG,08,100 S Clinton Ave,Clintonville,WI,54929,Waupaca,OPEN,Choice,,,715-823-6538,--,stmlc.org,eferg@stmlc.org
1162,Colby,2023,Cloverlane Mennonite School,Private School,Elementary School,01,08,W416 Cloverdale Rd,Colby,WI,54421,Clark,OPEN,,,,,,,mattswife4life2013@gmail.com
1162,Colby,6290,Saint Mary School,Private School,Elementary School,K4,08,209 S 2nd St,Colby,WI,54421,Clark,OPEN,Choice,,,715-223-3033,,https://stmaryschoolcolby.org/school,colbyprincipal@stmcsc.org
1169,Coleman,0647,Faith Christian School,Private School,Combined Elementary/Secondary School,K4,12,233 W Main St,Coleman,WI,54112,Marinette,OPEN,Choice,,,920-897-3380,920-897-3380,www.faithcs.org,christachick@faithcs.org
1183,Columbus,2289,Petersen Adventist School,Private School,Elementary School,KG,08,W1004 Hall Rd,Columbus,WI,53925,Columbia,OPEN,Choice,,,920-623-4056,,www.petersen-sda.org,hello@petersen-sda.org
1183,Columbus,4190,Saint Jerome Parochial Grade School,Private School,Elementary School,KG,08,1550 Farnham St,Columbus,WI,53925,Columbia,OPEN,,,,920-623-5780,,www.sjcolumbus.org/school,principal@stjeromecolumbus.org
1183,Columbus,8710,Wisconsin Academy,Private School,Combined Elementary/Secondary School,01,12,N2355 DuBorg Rd,Columbus,WI,53925,Columbia,OPEN,Choice,,,920-623-3300,920-626-6688,www.wisacad.org,derek.timms@wisacad.org
1183,Columbus,8820,Zion Lutheran School,Private School,Elementary School,K4,08,822 Western Ave,Columbus,WI,53925,Columbia,OPEN,,,,920-623-5180,,zioncolumbus.org,office@zioncrusaders.com
1246,Cuba City,1070,HolyGhostImmaculateConception,Private School,Elementary School,K4,02,325 W Main St,Dickeyville,WI,53808,Grant,OPEN,,,,608-568-7790,608-568-3872,www.hgicschool.webs.com,mullerm@hgicschool.com
1246,Cuba City,7690,Saint Rose of Lima School,Private School,Elementary School,K4,08,218 N Jackson St,Cuba City,WI,53807,Grant,OPEN,,,,608-744-2120,608-744-8449,www.strose.us,principal@strose.us
1253,Cudahy,1622,Richardson School,Private School,Combined Elementary/Secondary School,K4,12,5845 S Swift Ave,Cudahy,WI,53110,Milwaukee,OPEN,,,,414-540-8500,,www.richardsonschool.com,trevor.allen@richardsonschool.com
1253,Cudahy,7135,Saint Paul's Lutheran School,Private School,Elementary School,K4,08,3766 E Cudahy Ave,Cudahy,WI,53110,Milwaukee,OPEN,Choice,,,414-744-9771,414-744-2717,www.stpaulscudahy.com,dkolander@stpaulscudahy.com
1260,Cumberland,1894,Ascension Academy,Private School,Combined Elementary/Secondary School,K4,08,825 8th Ave,Cumberland,WI,54828,Barron,OPEN,Choice,,,715-671-0022,,https://www.ascensionarrows.org,christysainburg@ascensionarrows.org
1260,Cumberland,0805,Gospel Mennonite School,Private School,Combined Elementary/Secondary School,KG,09,1677 6 1/2 St,Almena,WI,54805,Barron,OPEN,,,,715-357-3030,,,dennis@wengerdistributing.com
1295,Darlington Community,1230,Holy Rosary Grade School,Private School,Elementary School,K4,04,744 Wells St,Darlington,WI,53530,Lafayette,CLOSED,,,,608-776-3710,608-776-3710,darlingtoncatholic.org,eric@saintmaryplatteville.com
1376,Kettle Moraine,1787,DaySpring Christian School,Private School,Combined Elementary/Secondary School,K4,12,N14W29489 Silvernail Rd,Pewaukee,WI,53072,Waukesha,OPEN,,,,262-404-5092,,dayspringbaptist.com,info@dayspringbaptist.com
1376,Kettle Moraine,1648,Lakewood School,Private School,Combined Elementary/Secondary School,03,12,W350S1450 Waterville Rd,Dousman,WI,53118,Waukesha,OPEN,,,,262-965-2131,262-965-4142,,saratrampf@ladlake.org
1376,Kettle Moraine,2315,Prairie Hill Waldorf School,Private School,Elementary School,K4,08,N14W29143 Silvernail Rd,Pewaukee,WI,53072,Waukesha,OPEN,Choice,,,262-646-7497,262-646-7495,www.prairiehillwaldorf.org,news@prairiehillwaldorf.org
1376,Kettle Moraine,3140,Saint Anthony on the Lake School,Private School,Combined Elementary/Secondary School,K4,08,W280N2101 Prospect Ave,Pewaukee,WI,53072,Waukesha,OPEN,,,,262-691-0460,262-691-7376,www.stanthony.cc/schoolhome.cfm,principal@stanthony.cc
1376,Kettle Moraine,3375,Saint Bruno Parish School,Private School,Elementary School,K4,08,246 W Ottawa Ave,Dousman,WI,53118,Waukesha,OPEN,Choice,,,262-965-2291,262-965-4749,www.stbrunoparishschool.com,nicole.nickolaus@stbrunoparishschool.com
1376,Kettle Moraine,4930,Saint Johns NW Military Academy,Private School,High School,07,12,1101 Genesee St,Delafield,WI,53018,Waukesha,OPEN,,,,262-646-7116,,https://stjohnsnorthwestern.org/,pzager@stjohnsnorthwestern.org
1380,Delavan-Darien,0490,Delavan Christian School,Private School,Elementary School,KG,08,848 Oak St,Delavan,WI,53115,Walworth,OPEN,Choice,,,262-728-5667,262-728-0092,www.delavanchristianschool.org,info@delavanchristianschool.org
1380,Delavan-Darien,2248,Our Redeemer Lutheran School,Private School,Elementary School,K4,08,416 W Geneva St,Delavan,WI,53115,Walworth,OPEN,Choice,,,262-728-6589,262-728-5581,www.orlcs.org,dstrom@orlcs.org
1380,Delavan-Darien,2950,Saint Andrew Parish School,Private School,Elementary School,K4,08,115 S 7th St,Delavan,WI,53115,Walworth,OPEN,Choice,,,262-728-6211,262-728-3683,www.standrews-delavan.org,principal@standrewsparishschool.com
1407,Denmark,1294,All Saints Grade School,Private School,Elementary School,K4,08,145 N St Claude St,Denmark,WI,54208,Brown,CLOSED,,,,920-863-2449,,,lgruber@allsaintsschool.net
1407,Denmark,4867,Saint Johns Lutheran School,Private School,Elementary School,K4,08,14323 S Maribel Rd,Maribel,WI,54227,Manitowoc,OPEN,,,,920-863-2850,920-863-2850,www.stjohnmaribel.com/school,phochmuth@stjohnmaribel.com
1414,De Pere,8790,Morrison Zion Lutheran School,Private School,Elementary School,K4,08,7373 County Road W,Greenleaf,WI,54126,Brown,OPEN,Choice,,,920-864-2349,,www.mzluth.org,school@mzls.org
